Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,prob_casa_prejogo,prob_empate_prejogo,prob_fora_prejogo,PSH,PSD,PSA,PSCH,PSCD,PSCA,data_corte_modelo
2023-05-25,La Liga,Mallorca,Valencia,H,0.35822545963195856,0.2865529956496289,0.3552215447184126,0.31867567765765703,0.3294054984542111,0.35191882388813206,0.2835365504389566,0.327451302358795,0.3890121472022485,3.43,2.97,2.5,3.07,2.97,2.78,2023-05-25
2023-05-25,La Liga,Osasuna,Ath Bilbao,H,0.32763245404694796,0.3092764256062697,0.3630911203467824,0.3027955565917826,0.29637262054286595,0.4008318228653515,0.31585805399556516,0.2886773905953533,0.39546455540908154,3.08,3.37,2.46,3.23,3.3,2.44,2023-05-25
2023-05-27,La Liga,Sevilla,Real Madrid,A,0.2803285430172726,0.2566895690679074,0.46298188791482003,0.3036393543744217,0.27310578801274804,0.42325485761283027,0.33104658583280155,0.2780791320995533,0.3908742820676452,2.94,3.5,2.49,3.22,3.58,2.31,2023-05-25
2023-05-28,La Liga,Vallecano,Villarreal,H,0.2748345947253358,0.25202127185979134,0.47314413341487294,0.31580078824793983,0.25102113937656756,0.4331780723754927,0.31576818043896027,0.24810357034489736,0.43612824921614246,3.08,3.92,2.23,3.1,3.9,2.26,2023-05-25
2023-05-28,La Liga,Valencia,Espanol,D,0.5355680391129233,0.2356042864597221,0.22882767442735466,0.45883804041873555,0.2784401783737626,0.2627217812075018,0.48103150211294654,0.25705916250480215,0.2619093353822512,2.02,3.78,3.71,2.13,3.51,3.72,2023-05-25
2023-05-28,La Liga,Girona,Betis,A,0.46646142815840536,0.24094422024977272,0.29259435159182207,0.4889743555620617,0.27015157765859765,0.24087406677934078,0.488916376529749,0.26224894590140174,0.24883467756884928,1.99,3.71,3.91,2.0,3.62,4.06,2023-05-25
2023-05-28,La Liga,Getafe,Osasuna,H,0.41273649079895425,0.33217780719985845,0.2550857020011872,0.39442981931315063,0.3338518607155677,0.27171831997128154,0.425129290512561,0.3110370847520015,0.2638336247354376,2.29,3.13,3.69,2.48,2.93,3.6,2023-05-25
2023-05-28,La Liga,Cadiz,Celta,H,0.34189920099706733,0.2908078187816337,0.36729298022129875,0.3736102995374985,0.3252023205276566,0.301187379934845,0.3580181842139939,0.301488997232837,0.3404928185531691,2.72,3.23,2.86,2.62,3.01,3.25,2023-05-25
2023-05-28,La Liga,Barcelona,Mallorca,H,0.7867641437565287,0.14752753100547653,0.06570832523799476,0.7632943512797882,0.15870476610767875,0.0780008826125331,0.7304818810212598,0.17379980353457522,0.09571831544416506,1.33,5.59,10.15,1.26,6.06,12.33,2023-05-25
2023-05-28,La Liga,Ath Madrid,Sociedad,H,0.5513789260920244,0.2566519335887566,0.19196914031921894,0.4180300206887445,0.31759423649729285,0.2643757428139627,0.46711900522899646,0.279197566343768,0.2536834284272357,2.08,3.48,3.83,2.34,3.08,3.7,2023-05-25
2023-05-28,La Liga,Ath Bilbao,Elche,A,0.6279574510250755,0.22929659050543671,0.1427459584694878,0.6818264846537503,0.19638815582318975,0.1217853595230598,0.7194945573570831,0.1746974195021695,0.10580802314074753,1.35,5.56,9.18,1.42,4.93,7.95,2023-05-25
2023-05-28,La Liga,Almeria,Valladolid,D,0.5884432252276952,0.2099669564665043,0.2015898183058006,0.42351669919398416,0.2835720507646677,0.2929112500413483,0.41386837495921175,0.2802854988916852,0.305846126149103,2.35,3.47,3.18,2.31,3.45,3.34,2023-05-25
2023-06-04,La Liga,Valladolid,Getafe,D,0.3276477715626184,0.31423897644999244,0.3581132519873892,0.485845733688122,0.29179923945232555,0.22235502685955238,0.42385213304410707,0.2910791757049892,0.28506869125090384,2.28,3.32,3.39,2.0,3.33,4.37,2023-05-25
2023-06-04,La Liga,Espanol,Almeria,D,0.4663153704099586,0.22112350263797362,0.3125611269520679,0.39979847074862196,0.25671270227016774,0.3434888269812104,0.3435754189944134,0.2625698324022347,0.39385474860335196,2.82,3.69,2.46,2.44,3.8,2.84,2023-05-25
2023-06-04,La Liga,Elche,Cadiz,D,0.3983271359885294,0.29840178098013004,0.3032710830313404,0.3874166458481465,0.3038799315871399,0.3087034225647135,0.35578221205996424,0.2897388074260787,0.35447898051395704,2.72,3.34,2.73,2.51,3.2,3.15,2023-05-25
2023-06-04,La Liga,Celta,Barcelona,H,0.1848357111981856,0.23308511757672476,0.5820791712250897,0.33954678224462576,0.272206498615105,0.3882467191402693,0.37126604554476994,0.25168944905762325,0.37704450539760687,2.61,3.85,2.57,2.87,3.58,2.51,2023-05-25
2023-06-04,La Liga,Betis,Valencia,D,0.5043763092914745,0.2577815546880325,0.23784213602049295,0.3099140994345394,0.3129036245094707,0.3771822760559898,0.3384607750707091,0.2696372748474173,0.3919019500818737,2.86,3.59,2.47,3.14,3.11,2.58,2023-05-25
