Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2023-07-24,brasileirao,Coritiba,Fluminense,H,0.24637572152408868,0.2561389257049465,0.4974853527709651,0.2861719851339229,0.3050108932461874,0.4088171216198898,2023-07-24
2023-07-29,brasileirao,Athletico-PR,Cruzeiro,D,0.41854235033693377,0.33354539339865824,0.2479122562644082,0.5222255337845935,0.27832077158720453,0.199453694628202,2023-07-24
2023-07-29,brasileirao,Fluminense,Santos,H,0.5724076645913643,0.2420413851607926,0.18555095024784315,0.6261960777705932,0.24387033179508025,0.12993359043432656,2023-07-24
2023-07-29,brasileirao,Internacional,Cuiaba,A,0.5476599795030579,0.29162045614730875,0.16071956434963325,0.5374239435846937,0.28277248194427196,0.1798035744710343,2023-07-24
2023-07-29,brasileirao,Corinthians,Vasco,H,0.6073310920109272,0.25401581319025773,0.13865309479881505,0.4635987739400547,0.3110407109501965,0.2253605151097488,2023-07-24
2023-07-29,brasileirao,Fortaleza,Bragantino,A,0.4676074118723746,0.2695253206880172,0.2628672674396082,0.43839056912584334,0.29051554133115587,0.2710938895430007,2023-07-24
2023-07-30,brasileirao,Atletico-MG,Flamengo RJ,A,0.42614690292997587,0.2614368266386924,0.3124162704313318,0.43634211910466947,0.2948614926070948,0.26879638828823565,2023-07-24
2023-07-30,brasileirao,Sao Paulo,Bahia,D,0.599248966979949,0.23399046435827317,0.16676056866177766,0.5784335704241139,0.2640674995414433,0.1574989300344427,2023-07-24
2023-07-30,brasileirao,America MG,Palmeiras,A,0.2454087988094244,0.26042080145166446,0.49417039973891114,0.264110580878723,0.28171795293730456,0.4541714661839723,2023-07-24
2023-07-30,brasileirao,Botafogo RJ,Coritiba,H,0.6693024536106623,0.20741748273268446,0.12328006365665325,0.5700232917390364,0.2626123566277404,0.16736435163322314,2023-07-24
2023-07-30,brasileirao,Goias,Gremio,D,0.31782429996266637,0.2496984810569401,0.43247721898039343,0.35502249570958117,0.29124599947432706,0.3537315048160918,2023-07-24
2023-08-05,brasileirao,Internacional,Corinthians,D,0.48948922466806855,0.3057663338516062,0.2047444414803253,0.41895540143861576,0.3272648253661914,0.2537797731951928,2023-07-24
2023-08-05,brasileirao,Santos,Athletico-PR,D,0.41372146272255805,0.2801802883269517,0.3060982489504903,0.40406929698114763,0.31928098548346423,0.2766497175353881,2023-07-24
2023-08-05,brasileirao,Goias,Fortaleza,H,0.33312901181111226,0.28477020845064704,0.3821007797382407,0.3564958214014377,0.3190929811232541,0.3244111974753083,2023-07-24
2023-08-06,brasileirao,Fluminense,Palmeiras,H,0.3651943798459813,0.27838312834713136,0.3564224918068873,0.44238441680356716,0.29946022060549166,0.2581553625909411,2023-07-24
