Date,liga,HomeTeam,AwayTeam,total_real,data_corte_modelo,prob_over_3.5,over_real_3.5
2023-05-04,Championship,Huddersfield,Sheffield United,3.0,2023-05-04,0.5708942353440654,0.0
2023-05-08,Championship,Preston,Sunderland,2.0,2023-05-04,0.7067575455254181,0.0
2023-05-08,Championship,Wigan,Rotherham,2.0,2023-05-04,0.5118638588913541,0.0
2023-05-08,Championship,Watford,Stoke,2.0,2023-05-04,0.6325195915966517,0.0
2023-05-08,Championship,Swansea,West Brom,3.0,2023-05-04,0.6344952809568345,0.0
2023-05-08,Championship,Norwich,Blackpool,1.0,2023-05-04,0.4852427210348751,0.0
2023-05-08,Championship,QPR,Bristol City,1.0,2023-05-04,0.3786298797767422,0.0
2023-05-08,Championship,Middlesbrough,Coventry,4.0,2023-05-04,0.5482197678176051,1.0
2023-05-08,Championship,Luton,Hull,1.0,2023-05-04,0.3872347330462504,0.0
2023-05-08,Championship,Huddersfield,Reading,1.0,2023-05-04,0.4788599415199129,0.0
2023-05-08,Championship,Burnley,Cardiff,3.0,2023-05-04,0.5957687030618178,0.0
2023-05-08,Championship,Birmingham,Sheffield United,1.0,2023-05-04,0.34188113471446513,0.0
2023-05-08,Championship,Millwall,Blackburn,1.0,2023-05-04,0.5526177159453801,0.0
2023-08-05,Championship,Watford,QPR,3.0,2023-08-04,0.5655260424946578,0.0
2023-08-05,Championship,Swansea,Birmingham,5.0,2023-08-04,0.5197450681327879,1.0
2023-08-05,Championship,Stoke,Rotherham,8.0,2023-08-04,0.46918654847026436,1.0
2023-08-05,Championship,Middlesbrough,Millwall,4.0,2023-08-04,0.4042972093356485,1.0
2023-08-05,Championship,Bristol City,Preston,1.0,2023-08-04,0.2635246258221988,0.0
2023-08-05,Championship,Blackburn,West Brom,7.0,2023-08-04,0.33238072239061434,1.0
2023-08-05,Championship,Norwich,Hull,7.0,2023-08-04,0.5268730386478169,1.0
2023-08-06,Championship,Leeds,Cardiff,3.0,2023-08-04,0.5907421125603296,0.0
