Date,liga,HomeTeam,AwayTeam,total_real,data_corte_modelo,prob_over_3.5,over_real_3.5
2023-05-25,La Liga,Mallorca,Valencia,6.0,2023-05-25,0.9121442037925408,1.0
2023-05-25,La Liga,Osasuna,Ath Bilbao,6.0,2023-05-25,0.5804379393485498,1.0
2023-05-27,La Liga,Sevilla,Real Madrid,6.0,2023-05-25,0.6670898138759155,1.0
2023-05-28,La Liga,Vallecano,Villarreal,8.0,2023-05-25,0.6760931686751973,1.0
2023-05-28,La Liga,Valencia,Espanol,4.0,2023-05-25,0.8875887550001821,1.0
2023-05-28,La Liga,Girona,Betis,1.0,2023-05-25,0.6750600455232192,0.0
2023-05-28,La Liga,Getafe,Osasuna,4.0,2023-05-25,0.7238483714227335,1.0
2023-05-28,La Liga,Cadiz,Celta,14.0,2023-05-25,0.7748653362034461,1.0
2023-05-28,La Liga,Barcelona,Mallorca,0.0,2023-05-25,0.7889190928530111,0.0
2023-05-28,La Liga,Ath Madrid,Sociedad,4.0,2023-05-25,0.6905788518770964,1.0
2023-05-28,La Liga,Ath Bilbao,Elche,2.0,2023-05-25,0.6812115529194522,0.0
2023-05-28,La Liga,Almeria,Valladolid,4.0,2023-05-25,0.6280479831398486,1.0
2023-06-04,La Liga,Valladolid,Getafe,4.0,2023-05-25,0.7697117923378136,1.0
2023-06-04,La Liga,Espanol,Almeria,5.0,2023-05-25,0.7832447591183217,1.0
2023-06-04,La Liga,Elche,Cadiz,7.0,2023-05-25,0.7231236684893387,1.0
2023-06-04,La Liga,Celta,Barcelona,4.0,2023-05-25,0.6870335316897809,1.0
2023-06-04,La Liga,Betis,Valencia,3.0,2023-05-25,0.8073843830020158,0.0
2023-06-04,La Liga,Mallorca,Vallecano,0.0,2023-05-25,0.823093123777822,0.0
2023-06-04,La Liga,Sociedad,Sevilla,1.0,2023-05-25,0.7566184889673163,0.0
2023-06-04,La Liga,Real Madrid,Ath Bilbao,4.0,2023-05-25,0.5942428768437534,1.0
2023-06-04,La Liga,Osasuna,Girona,6.0,2023-05-25,0.5749267078575492,1.0
