Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2023-05-25,La Liga,Mallorca,Valencia,H,0.3578586150773104,0.3761644390265964,0.2659769458960933,0.31867567765765703,0.3294054984542111,0.35191882388813206,2023-05-25
2023-05-25,La Liga,Osasuna,Ath Bilbao,H,0.28090305999429543,0.3910656727838237,0.32803126722188103,0.3027955565917826,0.29637262054286595,0.4008318228653515,2023-05-25
2023-05-27,La Liga,Sevilla,Real Madrid,A,0.26061072490626436,0.324496901097298,0.4148923739964377,0.3036393543744217,0.27310578801274804,0.42325485761283027,2023-05-25
2023-05-28,La Liga,Vallecano,Villarreal,H,0.3209326474836993,0.3262745595627154,0.35279279295358557,0.31580078824793983,0.25102113937656756,0.4331780723754927,2023-05-25
2023-05-28,La Liga,Valencia,Espanol,D,0.49462867067745514,0.30650010937393474,0.1988712199486102,0.45883804041873555,0.2784401783737626,0.2627217812075018,2023-05-25
2023-05-28,La Liga,Girona,Betis,A,0.39294394070053984,0.3264125504287971,0.2806435088706632,0.4889743555620617,0.27015157765859765,0.24087406677934078,2023-05-25
2023-05-28,La Liga,Getafe,Osasuna,H,0.39541174172814153,0.40246312318180216,0.20212513509005658,0.39442981931315063,0.3338518607155677,0.27171831997128154,2023-05-25
2023-05-28,La Liga,Cadiz,Celta,H,0.3314018182000472,0.360639243474203,0.30795893832574983,0.3736102995374985,0.3252023205276566,0.301187379934845,2023-05-25
2023-05-28,La Liga,Barcelona,Mallorca,H,0.7171407073727122,0.22023330255939588,0.06262599006789182,0.7632943512797882,0.15870476610767875,0.0780008826125331,2023-05-25
2023-05-28,La Liga,Ath Madrid,Sociedad,H,0.43979365411415416,0.3432694463953096,0.21693689949053643,0.4180300206887445,0.31759423649729285,0.2643757428139627,2023-05-25
2023-05-28,La Liga,Ath Bilbao,Elche,A,0.6476155172972158,0.2637607918702081,0.08862369083257626,0.6818264846537503,0.19638815582318975,0.1217853595230598,2023-05-25
2023-05-28,La Liga,Almeria,Valladolid,D,0.4930115122124181,0.2884306966826286,0.21855779110495355,0.42351669919398416,0.2835720507646677,0.2929112500413483,2023-05-25
2023-06-04,La Liga,Valladolid,Getafe,D,0.3061155865238643,0.3874921566061502,0.30639225686998534,0.485845733688122,0.29179923945232555,0.22235502685955238,2023-05-25
2023-06-04,La Liga,Espanol,Almeria,D,0.5281357205199371,0.27600168470941844,0.19586259477064444,0.39979847074862196,0.25671270227016774,0.3434888269812104,2023-05-25
2023-06-04,La Liga,Elche,Cadiz,D,0.36203455487073716,0.33634681141184825,0.30161863371741454,0.3874166458481465,0.3038799315871399,0.3087034225647135,2023-05-25
2023-06-04,La Liga,Celta,Barcelona,H,0.21008906554679507,0.33082855875997896,0.4590823756932258,0.33954678224462576,0.272206498615105,0.3882467191402693,2023-05-25
2023-06-04,La Liga,Betis,Valencia,D,0.49738162457441165,0.3140055186637127,0.18861285676187578,0.3099140994345394,0.3129036245094707,0.3771822760559898,2023-05-25
2023-06-04,La Liga,Mallorca,Vallecano,H,0.35739048069778445,0.38424694474298154,0.25836257455923395,0.30694275274056027,0.30694275274056027,0.3861144945188794,2023-05-25
2023-06-04,La Liga,Sociedad,Sevilla,H,0.5222546013342257,0.32662803218703257,0.1511173664787417,0.6174483618191979,0.22284917886348066,0.15970245931732135,2023-05-25
2023-06-04,La Liga,Real Madrid,Ath Bilbao,D,0.6002731465263306,0.2762122858347508,0.12351456763891847,0.5778112121410349,0.22162621835546545,0.2005625695034997,2023-05-25
2023-06-04,La Liga,Osasuna,Girona,H,0.3631185969682284,0.352569874497875,0.2843115285338965,0.4657767679636467,0.2638139417463473,0.270409290290006,2023-05-25
2023-06-04,La Liga,Villarreal,Ath Madrid,D,0.37078738245793424,0.3129248367987058,0.31628778074336006,0.3538706479617892,0.2551593619513953,0.3909699900868155,2023-05-25
