Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HF,AF,HY,AY,HR,AR,Referee,PSH,PSD,PSA,PSCH,PSCD,PSCA,liga,temporada
E1,2016-08-05,Fulham,Newcastle,1.0,0.0,H,2.0,2.0,12.0,11.0,1.0,3.0,0.0,0.0,S Hooper,3.93,3.63,2.04,4.39,3.42,2.0,Championship,1617
E1,2016-08-06,Birmingham,Cardiff,0.0,0.0,D,5.0,5.0,12.0,16.0,1.0,0.0,0.0,0.0,T Robinson,2.42,3.28,3.25,2.53,3.26,3.14,Championship,1617
E1,2016-08-06,Blackburn,Norwich,1.0,4.0,A,7.0,3.0,9.0,16.0,1.0,2.0,0.0,0.0,T Harrington,3.34,3.35,2.34,3.64,3.33,2.25,Championship,1617
E1,2016-08-06,Bristol City,Wigan,2.0,1.0,H,10.0,2.0,7.0,13.0,1.0,4.0,0.0,0.0,J Adcock,2.25,3.39,3.49,2.23,3.5,3.49,Championship,1617
E1,2016-08-06,Derby,Brighton,0.0,0.0,D,1.0,7.0,13.0,17.0,2.0,2.0,0.0,0.0,J Simpson,2.14,3.39,3.79,2.28,3.31,3.57,Championship,1617
E1,2016-08-06,Huddersfield,Brentford,2.0,1.0,H,5.0,2.0,13.0,9.0,1.0,1.0,0.0,0.0,G Eltringham,2.17,3.56,3.53,2.03,3.65,3.94,Championship,1617
E1,2016-08-06,Ipswich,Barnsley,4.0,2.0,H,5.0,4.0,17.0,11.0,2.0,3.0,0.0,0.0,K Stroud,2.12,3.45,3.79,2.11,3.44,3.9,Championship,1617
E1,2016-08-06,Nott'm Forest,Burton,4.0,3.0,H,8.0,6.0,13.0,8.0,2.0,2.0,0.0,0.0,A Woolmer,2.02,3.41,4.22,2.0,3.3,4.61,Championship,1617
E1,2016-08-06,Reading,Preston,1.0,0.0,H,6.0,1.0,13.0,16.0,2.0,3.0,0.0,0.0,A Davies,2.22,3.26,3.72,2.37,3.13,3.59,Championship,1617
E1,2016-08-06,Rotherham,Wolves,2.0,2.0,D,3.0,6.0,11.0,8.0,2.0,1.0,0.0,1.0,S Duncan,3.01,3.18,2.64,2.94,3.19,2.73,Championship,1617
E1,2016-08-07,QPR,Leeds,3.0,0.0,H,5.0,5.0,8.0,13.0,2.0,1.0,0.0,0.0,O Langford,2.19,3.32,3.75,2.37,3.3,3.37,Championship,1617
E1,2016-08-07,Sheffield Weds,Aston Villa,1.0,0.0,H,12.0,9.0,14.0,9.0,3.0,3.0,0.0,0.0,S Martin,2.13,3.34,3.9,2.28,3.3,3.59,Championship,1617
E1,2016-08-12,Brighton,Nott'm Forest,3.0,0.0,H,6.0,7.0,19.0,15.0,3.0,4.0,0.0,0.0,A Madley,1.78,3.69,5.37,1.75,3.75,5.48,Championship,1617
E1,2016-08-13,Aston Villa,Rotherham,3.0,0.0,H,4.0,6.0,17.0,13.0,4.0,2.0,0.0,0.0,K Stroud,1.76,3.77,5.21,1.67,3.91,6.02,Championship,1617
E1,2016-08-13,Barnsley,Derby,2.0,0.0,H,8.0,8.0,17.0,12.0,3.0,4.0,0.0,0.0,T Harrington,3.91,3.51,2.06,3.82,3.63,2.07,Championship,1617
E1,2016-08-13,Brentford,Ipswich,2.0,0.0,H,4.0,6.0,11.0,13.0,0.0,1.0,0.0,0.0,S Martin,2.5,3.44,2.99,2.61,3.35,2.95,Championship,1617
E1,2016-08-13,Burton,Bristol City,1.0,2.0,A,7.0,8.0,10.0,17.0,1.0,1.0,0.0,0.0,D Coote,2.99,3.26,2.6,3.31,3.3,2.41,Championship,1617
E1,2016-08-13,Leeds,Birmingham,1.0,2.0,A,7.0,4.0,15.0,14.0,1.0,5.0,0.0,0.0,P Tierney,2.29,3.28,3.52,2.48,3.27,3.22,Championship,1617
E1,2016-08-13,Newcastle,Huddersfield,1.0,2.0,A,4.0,1.0,6.0,10.0,1.0,2.0,0.0,0.0,O Langford,1.69,3.92,5.61,1.75,3.73,5.58,Championship,1617
E1,2016-08-13,Norwich,Sheffield Weds,0.0,0.0,D,10.0,4.0,11.0,11.0,1.0,1.0,0.0,0.0,A Woolmer,2.0,3.47,4.23,1.93,3.52,4.6,Championship,1617
E1,2016-08-13,Preston,Fulham,1.0,2.0,A,6.0,8.0,10.0,11.0,0.0,2.0,0.0,0.0,J Adcock,2.2,3.44,3.56,2.23,3.42,3.58,Championship,1617
E1,2016-08-13,Wigan,Blackburn,3.0,0.0,H,5.0,4.0,16.0,9.0,2.0,3.0,0.0,0.0,G Scott,2.17,3.42,3.68,2.17,3.44,3.71,Championship,1617
E1,2016-08-13,Wolves,Reading,2.0,0.0,H,5.0,5.0,7.0,10.0,2.0,2.0,0.0,0.0,D Bond,2.34,3.27,3.43,2.41,3.25,3.37,Championship,1617
E1,2016-08-14,Cardiff,QPR,0.0,2.0,A,3.0,1.0,11.0,14.0,1.0,4.0,0.0,0.0,J Linington,2.35,3.19,3.5,2.52,3.22,3.18,Championship,1617
E1,2016-08-16,Aston Villa,Huddersfield,1.0,1.0,D,4.0,6.0,10.0,13.0,3.0,1.0,0.0,0.0,S Duncan,2.02,3.53,4.04,2.31,3.24,3.58,Championship,1617
E1,2016-08-16,Brentford,Nott'm Forest,1.0,0.0,H,4.0,8.0,13.0,12.0,3.0,2.0,0.0,1.0,T Robinson,2.32,3.48,3.26,2.48,3.34,3.15,Championship,1617
E1,2016-08-16,Brighton,Rotherham,3.0,0.0,H,4.0,4.0,14.0,13.0,1.0,4.0,0.0,0.0,S Hooper,1.46,4.57,8.31,1.34,5.44,10.99,Championship,1617
E1,2016-08-16,Burton,Sheffield Weds,3.0,1.0,H,5.0,7.0,5.0,12.0,1.0,1.0,0.0,0.0,N Swarbrick,3.46,3.29,2.31,3.58,3.42,2.23,Championship,1617
E1,2016-08-16,Leeds,Fulham,1.0,1.0,D,9.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0,C Kavanagh,2.67,3.44,2.79,2.97,3.21,2.69,Championship,1617
E1,2016-08-16,Norwich,Bristol City,1.0,0.0,H,9.0,6.0,13.0,9.0,2.0,0.0,0.0,0.0,S Attwell,1.79,3.78,4.96,1.79,3.76,5.12,Championship,1617
E1,2016-08-16,Preston,Derby,0.0,1.0,A,5.0,5.0,15.0,7.0,1.0,0.0,0.0,0.0,D Coote,3.3,3.33,2.37,3.32,3.44,2.33,Championship,1617
E1,2016-08-16,Wigan,Birmingham,1.0,1.0,D,10.0,2.0,15.0,10.0,3.0,3.0,0.0,0.0,J Simpson,2.18,3.41,3.66,2.32,3.32,3.46,Championship,1617
E1,2016-08-16,Wolves,Ipswich,0.0,0.0,D,2.0,5.0,10.0,14.0,2.0,5.0,0.0,0.0,P Bankes,2.1,3.38,3.94,2.02,3.45,4.23,Championship,1617
E1,2016-08-17,Barnsley,QPR,3.0,2.0,H,4.0,1.0,8.0,13.0,1.0,1.0,0.0,1.0,D Bond,2.83,3.19,2.79,2.7,3.38,2.82,Championship,1617
E1,2016-08-17,Cardiff,Blackburn,2.0,1.0,H,4.0,4.0,7.0,7.0,1.0,1.0,0.0,1.0,A Davies,1.99,3.51,4.22,2.14,3.3,3.93,Championship,1617
E1,2016-08-17,Newcastle,Reading,4.0,1.0,H,2.0,9.0,11.0,19.0,1.0,5.0,0.0,0.0,A Madley,1.69,3.82,5.77,1.6,4.14,6.56,Championship,1617
E1,2016-08-20,Birmingham,Wolves,1.0,3.0,A,10.0,12.0,7.0,15.0,1.0,1.0,1.0,0.0,K Stroud,2.53,3.28,3.07,2.73,3.18,2.95,Championship,1617
E1,2016-08-20,Blackburn,Burton,2.0,2.0,D,6.0,12.0,11.0,8.0,2.0,1.0,0.0,0.0,P Bankes,2.36,3.29,3.36,2.67,3.13,3.07,Championship,1617
E1,2016-08-20,Bristol City,Newcastle,0.0,1.0,A,6.0,3.0,13.0,19.0,3.0,0.0,0.0,0.0,T Harrington,3.27,3.32,2.39,3.08,3.32,2.54,Championship,1617
E1,2016-08-20,Derby,Aston Villa,0.0,0.0,D,5.0,7.0,12.0,17.0,3.0,3.0,0.0,0.0,P Tierney,2.14,3.39,3.8,2.25,3.38,3.57,Championship,1617
E1,2016-08-20,Fulham,Cardiff,2.0,2.0,D,4.0,4.0,5.0,10.0,1.0,2.0,0.0,0.0,J Simpson,2.12,3.52,3.7,2.02,3.57,4.05,Championship,1617
E1,2016-08-20,Huddersfield,Barnsley,2.0,1.0,H,7.0,4.0,13.0,10.0,4.0,2.0,0.0,0.0,C Kavanagh,1.96,3.63,4.16,1.96,3.72,4.14,Championship,1617
E1,2016-08-20,Nott'm Forest,Wigan,4.0,3.0,H,5.0,5.0,6.0,12.0,4.0,4.0,0.0,0.0,J Linington,2.49,3.39,3.04,2.46,3.38,3.15,Championship,1617
E1,2016-08-20,QPR,Preston,0.0,2.0,A,10.0,5.0,8.0,11.0,1.0,2.0,0.0,0.0,A Madley,2.09,3.34,4.04,2.03,3.41,4.17,Championship,1617
E1,2016-08-20,Reading,Brighton,2.0,2.0,D,9.0,5.0,13.0,16.0,2.0,2.0,1.0,0.0,M Jones,3.54,3.35,2.25,3.14,3.17,2.59,Championship,1617
E1,2016-08-20,Rotherham,Brentford,1.0,0.0,H,6.0,11.0,11.0,6.0,1.0,1.0,0.0,0.0,J Adcock,2.89,3.35,2.63,2.97,3.38,2.58,Championship,1617
E1,2016-08-20,Sheffield Weds,Leeds,0.0,2.0,A,6.0,4.0,7.0,13.0,1.0,2.0,0.0,0.0,S Hooper,1.74,3.78,5.35,1.73,3.77,5.65,Championship,1617
E1,2016-08-21,Ipswich,Norwich,1.0,1.0,D,7.0,3.0,9.0,12.0,0.0,1.0,0.0,0.0,D Coote,3.52,3.28,2.3,3.47,3.26,2.33,Championship,1617
E1,2016-08-26,Burton,Derby,1.0,0.0,H,2.0,3.0,14.0,9.0,1.0,1.0,0.0,0.0,A Davies,3.34,3.39,2.32,4.03,3.44,2.06,Championship,1617
E1,2016-08-27,Barnsley,Rotherham,4.0,0.0,H,6.0,5.0,14.0,15.0,1.0,1.0,0.0,0.0,G Scott,1.99,3.64,4.05,2.0,3.67,4.03,Championship,1617
E1,2016-08-27,Birmingham,Norwich,3.0,0.0,H,5.0,8.0,12.0,13.0,0.0,0.0,0.0,0.0,D Bond,3.71,3.42,2.16,4.12,3.44,2.05,Championship,1617
E1,2016-08-27,Blackburn,Fulham,0.0,1.0,A,4.0,3.0,13.0,9.0,1.0,1.0,0.0,0.0,S Duncan,3.09,3.41,2.45,3.03,3.38,2.54,Championship,1617
