Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HF,AF,HY,AY,HR,AR,Referee,PSCH,PSCD,PSCA,liga,temporada,xG_casa,xG_fora
SP1,2016-08-19,Malaga,Osasuna,1,1,D,5.0,3.0,11.0,22.0,2.0,3.0,0.0,0.0,,1.66,3.78,6.59,La Liga,1617,0.834224,0.829951
SP1,2016-08-19,La Coruna,Eibar,2,1,H,1.0,8.0,14.0,17.0,3.0,3.0,0.0,0.0,,2.05,3.39,4.2,La Liga,1617,1.6197,0.359012
SP1,2016-08-20,Barcelona,Betis,6,2,H,10.0,2.0,17.0,13.0,1.0,3.0,0.0,0.0,,1.1,12.65,29.5,La Liga,1617,3.84325,0.250977
SP1,2016-08-20,Granada,Villarreal,1,1,D,7.0,3.0,17.0,11.0,2.0,3.0,0.0,0.0,,2.76,3.22,2.89,La Liga,1617,0.977176,1.75881
SP1,2016-08-20,Sevilla,Espanol,6,4,H,8.0,2.0,8.0,15.0,2.0,2.0,0.0,0.0,,1.71,3.93,5.49,La Liga,1617,2.60289,1.41803
SP1,2016-08-21,Sociedad,Real Madrid,0,3,A,4.0,7.0,22.0,11.0,2.0,3.0,0.0,0.0,,5.49,4.02,1.69,La Liga,1617,0.270003,2.73735
SP1,2016-08-21,Sp Gijon,Ath Bilbao,2,1,H,2.0,5.0,18.0,15.0,3.0,3.0,0.0,0.0,,4.66,3.57,1.9,La Liga,1617,1.43642,0.604671
SP1,2016-08-21,Ath Madrid,Alaves,1,1,D,20.0,2.0,7.0,15.0,0.0,4.0,0.0,0.0,,1.24,6.0,20.0,La Liga,1617,4.17855,0.0332215
SP1,2016-08-22,Celta,Leganes,0,1,A,8.0,4.0,5.0,13.0,4.0,1.0,0.0,1.0,,1.68,3.84,6.09,La Liga,1617,0.64855,0.908454
SP1,2016-08-22,Valencia,Las Palmas,2,4,A,12.0,1.0,15.0,18.0,2.0,2.0,0.0,0.0,,1.75,3.89,5.23,La Liga,1617,1.27123,1.2781
SP1,2016-08-26,Betis,La Coruna,0,0,D,13.0,2.0,20.0,15.0,0.0,2.0,0.0,0.0,,2.21,3.37,3.69,La Liga,1617,0.593093,0.590187
SP1,2016-08-26,Espanol,Malaga,2,2,D,3.0,4.0,20.0,17.0,2.0,4.0,0.0,0.0,,2.34,3.25,3.51,La Liga,1617,0.449707,0.43567
SP1,2016-08-27,Eibar,Valencia,1,0,H,6.0,10.0,13.0,11.0,2.0,2.0,0.0,0.0,,2.84,3.34,2.72,La Liga,1617,1.36093,2.05592
SP1,2016-08-27,Osasuna,Sociedad,0,2,A,10.0,1.0,14.0,14.0,2.0,1.0,0.0,0.0,,3.12,3.22,2.57,La Liga,1617,0.342253,0.758033
SP1,2016-08-27,Real Madrid,Celta,2,1,H,7.0,2.0,8.0,11.0,0.0,2.0,0.0,0.0,,1.18,8.5,17.85,La Liga,1617,2.02091,0.241185
SP1,2016-08-27,Leganes,Ath Madrid,0,0,D,1.0,8.0,19.0,5.0,3.0,1.0,0.0,0.0,,9.31,4.02,1.51,La Liga,1617,0.189954,0.700848
SP1,2016-08-28,Alaves,Sp Gijon,0,0,D,4.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,,2.52,3.14,3.28,La Liga,1617,1.12017,0.27695
SP1,2016-08-28,Ath Bilbao,Barcelona,0,1,A,4.0,4.0,20.0,13.0,5.0,4.0,0.0,0.0,,6.33,4.37,1.58,La Liga,1617,0.625251,2.33658
SP1,2016-08-28,Las Palmas,Granada,5,1,H,6.0,4.0,8.0,16.0,5.0,1.0,0.0,0.0,,1.83,3.85,4.7,La Liga,1617,2.78367,0.431857
SP1,2016-08-28,Villarreal,Sevilla,0,0,D,5.0,1.0,16.0,12.0,1.0,3.0,0.0,0.0,,2.4,3.5,3.15,La Liga,1617,0.580165,0.161483
SP1,2016-09-09,Sociedad,Espanol,1,1,D,11.0,1.0,10.0,10.0,2.0,2.0,0.0,1.0,,1.99,3.62,4.14,La Liga,1617,0.303769,0.0708424
SP1,2016-09-10,Barcelona,Alaves,1,2,A,13.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0,,1.09,13.38,32.32,La Liga,1617,1.352,0.290172
SP1,2016-09-10,Celta,Ath Madrid,0,4,A,6.0,4.0,13.0,12.0,1.0,2.0,0.0,0.0,,6.1,3.61,1.73,La Liga,1617,0.701483,2.42263
SP1,2016-09-10,Malaga,Villarreal,0,2,A,9.0,7.0,8.0,14.0,2.0,1.0,0.0,0.0,,2.53,3.11,3.3,La Liga,1617,1.05974,2.47884
SP1,2016-09-10,Real Madrid,Osasuna,5,2,H,6.0,7.0,14.0,14.0,2.0,2.0,0.0,1.0,,1.07,17.7,36.4,La Liga,1617,3.7979,1.03534
SP1,2016-09-10,Sevilla,Las Palmas,2,1,H,10.0,1.0,15.0,13.0,2.0,4.0,0.0,1.0,,1.53,4.61,6.71,La Liga,1617,3.53881,0.642731
SP1,2016-09-11,Granada,Eibar,1,2,A,6.0,7.0,7.0,8.0,2.0,0.0,0.0,1.0,,2.58,3.24,3.09,La Liga,1617,1.96158,1.12057
SP1,2016-09-11,La Coruna,Ath Bilbao,0,1,A,7.0,6.0,15.0,15.0,2.0,3.0,0.0,0.0,,3.68,3.3,2.25,La Liga,1617,0.708733,0.239631
SP1,2016-09-11,Sp Gijon,Leganes,2,1,H,3.0,5.0,12.0,16.0,0.0,2.0,0.0,0.0,,2.63,3.07,3.18,La Liga,1617,1.65936,0.484862
SP1,2016-09-11,Valencia,Betis,2,3,A,5.0,5.0,15.0,21.0,2.0,4.0,1.0,0.0,,1.55,4.42,6.74,La Liga,1617,1.81116,1.96896
SP1,2016-09-16,Betis,Granada,2,2,D,7.0,3.0,13.0,17.0,4.0,3.0,1.0,1.0,,1.75,3.96,5.14,La Liga,1617,1.96299,1.41911
SP1,2016-09-17,Ath Madrid,Sp Gijon,5,0,H,1.0,4.0,14.0,9.0,0.0,2.0,0.0,0.0,,1.2,7.35,19.75,La Liga,1617,2.52857,0.503786
SP1,2016-09-17,Eibar,Sevilla,1,1,D,4.0,2.0,19.0,10.0,1.0,1.0,2.0,0.0,,3.01,3.46,2.51,La Liga,1617,0.767442,1.22253
SP1,2016-09-17,Las Palmas,Malaga,1,0,H,2.0,2.0,11.0,18.0,3.0,1.0,0.0,0.0,,2.26,3.44,3.48,La Liga,1617,0.869251,0.645227
SP1,2016-09-17,Leganes,Barcelona,1,5,A,2.0,5.0,28.0,7.0,4.0,2.0,0.0,0.0,,18.25,7.9,1.19,La Liga,1617,1.18104,2.94825
SP1,2016-09-18,Ath Bilbao,Valencia,2,1,H,7.0,1.0,19.0,20.0,4.0,4.0,0.0,0.0,,1.89,3.74,4.46,La Liga,1617,1.34212,1.53251
